School,Conference,Salary,Stadium.Size,Wins,Losses,Winning.Season
Clemson,ACC,10250000,86092,14,1,TRUE
Louisville,ACC,3250000,61000,8,5,TRUE
Wake Forest,ACC,1831580,31500,8,5,TRUE
Boston College,ACC,2514859,44500,6,7,FALSE
Florida State,ACC,5000000,79560,6,7,FALSE
Syracuse,ACC,2401206,49262,5,7,FALSE
North Carolina State,ACC,3000000,57583,4,8,FALSE
Miami,ACC,3100000,65326,6,7,FALSE
Virginia,ACC,3550000,61500,9,5,TRUE
Virginia Tech,ACC,4000000,66233,8,5,TRUE
Pitt,ACC,3017718,68400,8,5,TRUE
North Carolina,ACC,3500000,51000,7,6,TRUE
Duke,ACC,2540928,40004,5,7,FALSE
Georgia Tech,ACC,3300000,55000,3,9,FALSE
Oklahoma,Big 12,4800000,86112,12,2,TRUE
Baylor,Big 12,1000000,45140,11,3,TRUE
Kansas State,Big 12,3500000,50000,8,5,TRUE
Oklahoma State,Big 12,5000000,60218,8,5,TRUE
Texas,Big 12,5500000,100119,8,5,TRUE
Iowa State,Big 12,3500000,61500,7,6,TRUE
Texas Christian,Big 12,4840717,45000,5,7,FALSE
West Virginia,Big 12,3125000,60540,5,7,FALSE
Texas Tech,Big 12,3703975,60454,4,8,FALSE
Kansas,Big 12,2775000,50071,3,9,FALSE
Ohio State,Big 10,4500000,102780,13,1,TRUE
Penn State,Big 10,4800000,102572,11,2,TRUE
Michigan,Big 10,7504000,107601,9,4,TRUE
Indiana,Big 10,1830000,52929,8,5,TRUE
Michigan State,Big 10,4390000,75005,7,6,TRUE
Maryland,Big 10,2500000,51802,3,9,FALSE
Rutgers,Big 10,2200000,52454,2,10,FALSE
Minnesota,Big 10,3550000,52525,11,2,TRUE
Wisconsin,Big 10,3750000,82123,10,4,TRUE
Iowa,Big 10,4700000,70585,10,3,TRUE
Illinois,Big 10,5000000,60670,6,7,FALSE
Nebraska,Big 10,5000000,85458,5,7,FALSE
Purdue,Big 10,3800000,57236,4,8,FALSE
Northwestern,Big 10,3619775,47130,3,9,FALSE
Georgia,SEC,6603600,93246,12,2,TRUE
Florida,SEC,6070000,90916,11,2,TRUE
Tennessee,SEC,3846000,102455,8,5,TRUE
Kentucky,SEC,4013600,61000,8,5,TRUE
Missouri,SEC,2350000,71168,6,6,FALSE
South Carolina,SEC,4200000,80250,4,8,FALSE
Vanderbilt,SEC,2812523,39790,3,9,FALSE
LSU,SEC,3500000,102321,15,0,TRUE
Alabama,SEC,8700000,100077,11,2,TRUE
Auburn,SEC,6705656,87451,9,4,TRUE
Texas A&M,SEC,7500000,102733,8,5,TRUE
Mississippi State,SEC,2600000,61337,6,7,FALSE
Ole Miss,SEC,3000000,64038,4,8,FALSE
Arkansas,SEC,3500000,76212,2,10,FALSE
Oregon,Pac-12,2500000,54000,12,2,TRUE
California,Pac-12,1500000,62717,8,5,TRUE
Washington,Pac-12,4377500,70083,8,5,TRUE
Oregon State,Pac-12,1900008,45674,5,7,FALSE
Washington State,Pac-12,3500000,35117,6,7,FALSE
Stanford,Pac-12,4311543,50000,4,8,FALSE
Utah,Pac-12,3787917,45807,11,3,TRUE
USC,Pac-12,2625965,77501,8,5,TRUE
Arizona State,Pac-12,2000000,56634,8,5,TRUE
UCLA,Pac-12,3300000,92542,4,8,FALSE
Colorado,Pac-12,2400000,50183,5,7,FALSE
Arizona,Pac-12,2000000,55675,4,8,FALSE
